Site,Sample Date,pH †(Unit),Alkalinity (mg/L CaCO3),Calcium (mg/L),Specific Conductance ( µS/cm), Temperature † (°F),ortho-Phosphate †† (mg/L),Lead (µg/L),Copper (mg/L)
1S03A,07/01/2014,7.22,,,84,60,2.13,,
1S03B,07/01/2014,7.56,,,85,59,1.98,,
1S04,07/01/2014,7.24,,,85,62,1.99,,
1S03A,08/01/2014,7.29,,,84,63,2.01,,
1S03B,08/01/2014,7.54,,,88,64,1.9,,
1S04,08/01/2014,7.34,,,87,64,2.01,,
1S03A,09/01/2014,7.33,,,83,66,2.02,,
1S03B,09/01/2014,7.57,,,86,66,1.95,,
1S04,09/01/2014,7.24,,,84,65,2.14,,
1S03A,10/01/2014,7.31,,,81,64,2.04,,
1S03B,10/01/2014,7.49,,,84,64,2.17,,
1S04,10/01/2014,7.3,,,81,65,2.07,,
1S03A,11/01/2014,7.09,,,81,57,2.12,,
1S03B,11/01/2014,7.34,,,86,57,2.28,,
1S04,11/01/2014,7.18,,,85,58,2.05,,
1S03A,12/01/2014,7.39,,,86,48,2.18,,
1S03B,12/01/2014,7.49,,,87,48,2.03,,
1S04,12/01/2014,7.39,,,86,48,2.16,,
1S03A,07/02/2014,7.31,,,84,61,2.01,,
1S03B,07/02/2014,7.57,,,88,61,2.12,,
1S04,07/02/2014,7.34,,,86,63,1.99,,
1S03A,08/02/2014,7.29,,,83,62,1.94,,
1S03B,08/02/2014,7.43,,,87,63,2.11,,
1S04,08/02/2014,7.34,,,85,63,1.98,,
1S03A,09/02/2014,7.37,,,83,66,2.04,,
1S03B,09/02/2014,7.63,,,87,65,2.09,,
1S04,09/02/2014,7.32,,,85,65,2.14,,
1S03A,10/02/2014,7.47,,,81,64,2.1,,
1S03B,10/02/2014,7.74,,,84,64,2,,
1S04,10/02/2014,7.35,,,83,64,2.13,,
1S03A,11/02/2014,7.34,,,81,57,2,,
1S03B,11/02/2014,7.31,,,87,55,2.11,,
1S04,11/02/2014,7.18,,,85,56,2.18,,
1S03A,12/02/2014,7.39,15.5,6.15,87,47,2.13,0,0.006
1S03B,12/02/2014,7.38,16.3,6.12,90,46,2.14,0,0.006
1S04,12/02/2014,7.32,,,89,47,2.07,,
1S07*,12/02/2014,7.36,14.8,6.07,87,47,2.18,0,0.006
1S03A,07/03/2014,7.3,,,84,61,2.02,,
1S03B,07/03/2014,7.56,,,88,62,1.95,,
1S04,07/03/2014,7.31,,,85,62,2.08,,
1S03A,08/03/2014,7.3,,,83,64,1.84,,
1S03B,08/03/2014,7.49,,,86,63,2.03,,
1S04,08/03/2014,7.34,,,84,64,1.96,,
1S03A,09/03/2014,7.11,,,81,65,2.1,,
1S03B,09/03/2014,7.35,,,86,65,1.95,,
1S04,09/03/2014,7.29,,,83,64,2.09,,
1S03A,10/03/2014,7.35,,,82,64,2.1,,
1S03B,10/03/2014,7.57,,,83,63,1.98,,
1S04,10/03/2014,7.33,,,83,65,2.27,,
1S03A,11/03/2014,7.44,,,78,57,2.11,,
1S03B,11/03/2014,7.46,,,84,55,1.89,,
1S04,11/03/2014,7.28,,,83,55,2.13,,
1S03A,12/03/2014,7.42,,,87,47,2.24,,
1S03B,12/03/2014,7.46,,,90,47,2.1,,
1S04,12/03/2014,7.36,,,87,47,1.7,,
1S03A,07/04/2014,7.25,,,84,60,2.2,,
1S03B,07/04/2014,7.48,,,87,61,2.11,,
1S04,07/04/2014,7.27,,,84,62,1.98,,
1S03A,08/04/2014,7.24,,,84,64,2.17,,
1S03B,08/04/2014,7.51,,,87,64,1.9,,
1S04,08/04/2014,7.3,,,85,64,2.04,,
1S03A,09/04/2014,7.36,,,82,66,2.06,,
1S03B,09/04/2014,7.61,,,87,66,2.06,,
1S04,09/04/2014,7.32,,,83,66,2.03,,
1S03A,10/04/2014,7.2,,,82,64,2.06,,
1S03B,10/04/2014,7.47,,,85,64,1.99,,
1S04,10/04/2014,7.22,,,84,64,2,,
1S03A,11/04/2014,7.18,,,84,57,2.26,,
1S03B,11/04/2014,7.33,,,86,57,2.17,,
1S04,11/04/2014,7.11,,,85,56,2.18,,
1S03A,12/04/2014,7.32,,,88,46,2.28,,
1S03B,12/04/2014,7.49,,,89,46,2.26,,
1S04,12/04/2014,7.37,,,88,46,2.16,,
1S03A,07/05/2014,7.25,,,85,60,2.05,,
1S03B,07/05/2014,7.49,,,88,60,1.98,,
1S04,07/05/2014,7.27,,,86,60,1.94,,
1S03A,08/05/2014,7.27,15.2,5.54,83,64,2.14,0,0.007
1S03B,08/05/2014,7.48,16.5,5.51,86,64,1.96,0,0.007
1S04,08/05/2014,7.29,15.4,5.54,84,64,2.17,0,0.017
1S07*,08/05/2014,7.33,15.5,5.52,83,64,1.72,0,0.015
1S03A,09/05/2014,7.34,,,83,66,2.18,,
1S03B,09/05/2014,7.63,,,86,66,2.06,,
1S04,09/05/2014,7.16,,,84,66,2.11,,
1S03A,10/05/2014,7.28,,,82,63,2.11,,
1S03B,10/05/2014,7.48,,,86,63,2.08,,
1S04,10/05/2014,7.29,,,83,63,1.98,,
1S03A,11/05/2014,7.04,15.2,5.73,83,57,2.19,0,0.005
1S03B,11/05/2014,7.32,16.8,5.7,86,56,1.94,0,0.005
1S04,11/05/2014,7.46,15.6,5.71,82,56,2.11,0,0.013
1S07*,11/05/2014,7.43,15.6,5.65,85,56,1.64,0,0.014
1S03A,12/05/2014,7.3,,,86,46,2.2,,
1S03B,12/05/2014,7.48,,,91,45,1.96,,
1S04,12/05/2014,7.34,,,89,46,1.95,,
1S03A,07/06/2014,7.21,,,83,60,2.15,,
1S03B,07/06/2014,7.55,,,87,59,2.08,,
1S04,07/06/2014,7.21,,,86,60,1.94,,
1S03A,08/06/2014,7.34,,,83,64,2.04,,
1S03B,08/06/2014,7.52,,,87,64,1.85,,
1S04,08/06/2014,7.31,,,84,64,2.02,,
1S03A,09/06/2014,7.34,,,83,66,2.07,,
1S03B,09/06/2014,7.51,,,86,66,2.07,,
1S04,09/06/2014,7.47,,,84,67,2.02,,
1S03A,10/06/2014,7.24,,,82,64,2.17,,
1S03B,10/06/2014,7.45,,,85,63,2.05,,
1S04,10/06/2014,7.2,,,83,63,1.99,,
1S03A,11/06/2014,7.17,,,83,57,2.22,,
1S03B,11/06/2014,7.41,,,87,56,2.13,,
1S04,11/06/2014,7.47,,,86,55,2,,
1S03A,12/06/2014,7.38,,,88,46,2.03,,
1S03B,12/06/2014,7.46,,,90,46,2.06,,
1S04,12/06/2014,7.36,,,89,46,1.94,,
1S03A,07/07/2014,7.33,,,83,56,2.12,,
1S03B,07/07/2014,7.39,,,86,56,2.13,,
1S04,07/07/2014,7.29,,,86,62,2.09,,
1S03A,08/07/2014,7.23,,,83,62,2.21,,
1S03B,08/07/2014,7.46,,,87,62,2.06,,
1S04,08/07/2014,7.24,,,84,61,2.15,,
1S03A,09/07/2014,7.42,,,83,68,2.04,,
1S03B,09/07/2014,7.68,,,86,67,2.01,,
1S04,09/07/2014,7.47,,,83,67,1.97,,
1S03A,10/07/2014,7.31,16,5.71,81,64,2.23,0,0.005
1S03B,10/07/2014,7.55,17.6,5.69,86,64,2,0,0.005
1S04,10/07/2014,7.26,,,84,63,2.03,,
1S07*,10/07/2014,7.23,16.4,5.75,83,63,1.94,0,0.008
1S03A,11/07/2014,7.21,,,81,57,2.26,,
1S03B,11/07/2014,7.43,,,87,57,2.15,,
1S04,11/07/2014,7.52,,,86,55,2.02,,
1S03A,12/07/2014,7.38,,,84,47,2.14,,
1S03B,12/07/2014,7.49,,,89,46,2.17,,
1S04,12/07/2014,7.33,,,87,46,2.04,,
1S03A,07/08/2014,7.13,14,5.45,83,62,2.15,0,0.005
1S03B,07/08/2014,7.49,15.8,5.48,88,61,2.01,0,0.006
1S04,07/08/2014,7.16,,,86,62,2.07,,
1S07*,07/08/2014,7.21,14.8,5.52,86,61,1.86,0,0.006
1S03A,08/08/2014,7.31,,,84,62,2.17,,
1S03B,08/08/2014,7.36,,,87,61,2.15,,
1S04,08/08/2014,7.18,,,84,63,2.04,,
1S03A,09/08/2014,7.4,,,83,67,2.21,,
1S03B,09/08/2014,7.71,,,87,67,2.27,,
1S04,09/08/2014,7.67,,,86,66,1.95,,
1S03A,10/08/2014,7.24,,,81,64,2.25,,
1S03B,10/08/2014,7.54,,,86,64,2.14,,
1S04,10/08/2014,7.34,,,85,63,2.05,,
1S03A,11/08/2014,7.29,,,84,55,2.04,,
1S03B,11/08/2014,7.56,,,87,54,2.06,,
1S04,11/08/2014,7.21,,,87,55,2.11,,
1S03A,12/08/2014,7.05,,,83,47,2.1,,
1S03B,12/08/2014,7.3,,,87,46,2.09,,
1S04,12/08/2014,7.21,,,86,44,2.03,,
1S03A,07/09/2014,7.29,,,83,60,2.1,,
1S03B,07/09/2014,7.61,,,88,61,1.85,,
1S04,07/09/2014,7.28,,,85,61,2.07,,
1S03A,08/09/2014,7.21,,,83,63,2.07,,
1S03B,08/09/2014,7.37,,,87,63,2,,
1S04,08/09/2014,7.3,,,84,63,1.89,,
1S03A,09/09/2014,7.37,15.8,5.53,82,66,2.08,0,0.009
1S03B,09/09/2014,7.72,17.5,5.58,87,66,2.06,0,0.009
1S04,09/09/2014,7.26,,,84,67,2.16,,
1S07*,09/09/2014,7.28,16.5,5.55,85,67,2.04,0,0.007
1S03A,10/09/2014,7.35,,,82,63,2.1,,
1S03B,10/09/2014,7.69,,,87,63,2.03,,
1S04,10/09/2014,7.35,,,86,64,2.13,,
1S03A,11/09/2014,7.29,,,82,55,2.06,,
1S03B,11/09/2014,7.61,,,86,55,2.04,,
1S04,11/09/2014,7.43,,,83,55,2.04,,
1S03A,12/09/2014,7.13,,,89,45,2.35,,
1S03B,12/09/2014,7.45,,,89,45,1.96,,
1S04,12/09/2014,7.39,,,87,46,2.05,,
1S03A,07/10/2014,7.18,,,84,62,2.24,,
1S03B,07/10/2014,7.42,,,88,62,2.05,,
1S04,07/10/2014,7.18,,,85,62,2.19,,
1S03A,08/10/2014,7.37,,,83,64,2.02,,
1S03B,08/10/2014,7.53,,,86,64,2.04,,
1S04,08/10/2014,7.31,,,84,65,1.98,,
1S03A,09/10/2014,7.35,,,82,66,2.11,,
1S03B,09/10/2014,7.7,,,87,66,2.15,,
1S04,09/10/2014,7.45,,,84,66,1.96,,
1S03A,10/10/2014,7.43,,,81,63,2.13,,
1S03B,10/10/2014,7.79,,,86,62,2.02,,
1S04,10/10/2014,7.41,,,84,63,2.1,,
1S03A,11/10/2014,7.41,,,83,55,2.09,,
1S03B,11/10/2014,7.59,,,88,54,2.07,,
1S04,11/10/2014,7.48,,,86,55,2.04,,
1S03A,12/10/2014,7.31,,,91,44,2.3,,
1S03B,12/10/2014,7.45,,,92,44,2.11,,
1S04,12/10/2014,7.17,,,88,45,2.04,,
1S03A,07/11/2014,7.28,,,84,62,2.12,,
1S03B,07/11/2014,7.5,,,88,62,2.09,,
1S04,07/11/2014,7.29,,,85,62,2.11,,
1S03A,08/11/2014,7.18,,,83,64,2.06,,
1S03B,08/11/2014,7.35,,,86,64,1.98,,
1S04,08/11/2014,7.15,,,83,64,1.94,,
1S03A,09/11/2014,7.32,,,83,67,2.17,,
1S03B,09/11/2014,7.6,,,87,67,2.11,,
1S04,09/11/2014,7.31,,,85,66,2,,
1S03A,10/11/2014,7.27,,,81,62,2.13,,
1S03B,10/11/2014,7.72,,,87,62,2.03,,
1S04,10/11/2014,7.5,,,86,62,1.98,,
1S03A,11/11/2014,7.13,,,83,55,2.1,,
1S03B,11/11/2014,7.33,,,88,55,2.08,,
1S04,11/11/2014,7.17,,,86,55,2.09,,
1S03A,12/11/2014,7.18,,,86,45,2.16,,
1S03B,12/11/2014,7.46,,,90,44,1.97,,
1S04,12/11/2014,7.3,,,90,45,2.04,,
1S03A,07/12/2014,7.23,,,83,62,2.07,,
1S03B,07/12/2014,7.48,,,87,62,2.12,,
1S04,07/12/2014,7.34,,,86,62,1.99,,
1S03A,08/12/2014,7.32,,,84,64,2.06,,
1S03B,08/12/2014,7.29,,,82,63,2.17,,
1S04,08/12/2014,7.26,,,84,64,2.13,,
1S03A,09/12/2014,7.35,,,85,66,2.16,,
1S03B,09/12/2014,7.53,,,87,66,2.11,,
1S04,09/12/2014,7.25,,,85,66,1.92,,
1S03A,10/12/2014,7.23,,,81,63,2.12,,
1S03B,10/12/2014,7.65,,,87,62,2.03,,
1S04,10/12/2014,7.35,,,85,62,2.06,,
1S03A,11/12/2014,7.42,,,83,55,2.22,,
1S03B,11/12/2014,7.56,,,87,55,2.07,,
1S04,11/12/2014,7.43,,,85,55,2.17,,
1S03A,12/12/2014,7.31,,,89,45,2.08,,
1S03B,12/12/2014,7.54,,,92,44,1.95,,
1S04,12/12/2014,7.34,,,90,44,2.18,,
1S03A,01/01/2015,7.37,,,91,43,2.16,,
1S03B,01/01/2015,7.64,,,92,43,1.95,,
1S04,01/01/2015,7.31,,,92,43,2.03,,
1S03A,02/01/2015,7.32,,,89,37,2.17,,
1S03B,02/01/2015,7.5,,,92,36,1.99,,
1S04,02/01/2015,7.28,,,91,37,2.01,,
1S03A,03/01/2015,7.26,,,90,37,2.22,,
1S03B,03/01/2015,7.38,,,92,37,2.05,,
1S04,03/01/2015,7.24,,,91,36,2.01,,
1S03A,04/01/2015,7.18,,,97,39,2.14,,
1S03B,04/01/2015,7.4,,,100,39,2.09,,
1S04,04/01/2015,7.31,,,99,38,2.16,,
1S03A,05/01/2015,7.14,,,112,49,2.25,,
1S03B,05/01/2015,7.53,,,113,49,2.01,,
1S04,05/01/2015,7.45,,,114,49,2.07,,
1S03A,06/01/2015,7.38,,,101,57,2.16,,
1S03B,06/01/2015,7.61,,,103,56,1.96,,
1S04,06/01/2015,7.36,,,102,56,2.02,,
1SCL1,06/01/2015,7.45,,,432,54,2.08,,
1S03A,07/01/2015,7.29,,,95,59,2.18,,
1S03B,07/01/2015,7.52,,,100,59,2.01,,
1S07,07/01/2015,7.35,,,97,61,2.31,,
1SCL1,07/01/2015,7.54,,,339,55,2,,
1S03A,08/01/2015,7.42,,,98,66,2.16,,
1S03B,08/01/2015,7.71,,,102,66,2.17,,
1S07,08/01/2015,7.53,,,99,66,1.99,,
1SCL1,08/01/2015,7.41,,,313,58,2.32,,
1S03A,09/01/2015,7.22,,,93,66,2.12,,
1S03B,09/01/2015,7.2,,,96,67,2.04,,
1S07,09/01/2015,7.14,,,95,67,1.98,,
1SCL1,09/01/2015,7.2,,,427,57,2.19,,
1S03A,10/01/2015,7.32,,,93,61,2.18,,
1S03B,10/01/2015,7.25,,,95,61,2.28,,
1S07,10/01/2015,6.91,,,94,63,2.1,,
1SCL1,10/01/2015,7.53,,,405,56,2.37,,
1S03A,11/01/2015,7.34,,,91,57,2.07,,
1S03B,11/01/2015,7.59,,,93,57,1.81,,
1S07,11/01/2015,7.48,,,92,59,2.2,,
1SCL1,11/01/2015,7.31,,,514,57,2.26,,
1S03A,12/01/2015,7.37,15.5,6.09,91,51,2.21,0,0.006
1S03B,12/01/2015,7.47,16.4,6.13,94,51,2.28,0,0.006
1S07,12/01/2015,7.24,15.6,6.07,93,51,2,0,0.007
1SCL1,12/01/2015,7.2,66,26.9,468,51,2.25,0,0.006
1S03A,01/02/2015,7.22,,,90,42,2.19,,
1S03B,01/02/2015,7.36,,,94,42,2.04,,
1S04,01/02/2015,7.29,,,93,41,2.09,,
1S03A,02/02/2015,7.35,,,91,35,2.2,,
1S03B,02/02/2015,7.5,,,92,36,2.11,,
1S04,02/02/2015,7.28,,,90,35,1.87,,
1S03A,03/02/2015,7.32,,,90,37,2.14,,
1S03B,03/02/2015,7.42,,,92,36,2.16,,
1S04,03/02/2015,7.27,,,90,36,2.21,,
1S03A,04/02/2015,7.25,,,97,39,2.02,,
1S03B,04/02/2015,7.51,,,101,39,2,,
1S04,04/02/2015,7.34,,,100,40,2.1,,
1S03A,05/02/2015,7.22,,,113,52,2.23,,
1S03B,05/02/2015,7.62,,,116,51,2.04,,
1S04,05/02/2015,7.35,,,115,50,1.98,,
1S03A,06/02/2015,7.29,14.8,6.39,101,57,2.25,0,0.005
1S03B,06/02/2015,7.49,16.4,6.4,104,57,2.17,0,0.006
1S04,06/02/2015,7.26,,,100,55,2.24,,
1S07*,06/02/2015,7.36,15.3,6.32,100,56,2.36,0,0.007
1SCL1,06/02/2015,7.18,51.7,19.71,374,54,2.19,0,0.013
1S03A,07/02/2015,7.19,,,96,60,2.11,,
1S03B,07/02/2015,7.4,,,100,60,1.9,,
1S07,07/02/2015,7.44,,,98,62,2.05,,
1SCL1,07/02/2015,7.54,,,329,54,2.23,,
1S03A,08/02/2015,7.16,,,101,64,2.09,,
1S03B,08/02/2015,7.56,,,103,65,2.15,,
1S07,08/02/2015,7.5,,,100,67,2.1,,
1SCL1,08/02/2015,7.3,,,309,57,2.2,,
1S03A,09/02/2015,7.32,16.6,6.14,94,67,2.16,0,0.006
1S03B,09/02/2015,7.24,16.5,6.13,97,66,2.02,0,0.012
1S07,09/02/2015,7.28,16.2,6.13,96,68,2.02,0,0.008
1SCL1,09/02/2015,7.46,59.5,21.5,421,56,2.21,0,0.01
1S03A,10/02/2015,7.28,,,92,60,2.13,,
1S03B,10/02/2015,7.22,,,96,60,2.18,,
1S07,10/02/2015,7.12,,,94,62,2.06,,
1SCL1,10/02/2015,7.48,,,514,54,2.06,,
1S03A,11/02/2015,7.29,,,90,59,2.31,,
1S03B,11/02/2015,7.4,,,93,58,2.21,,
1S07,11/02/2015,7.19,,,92,56,2.06,,
1SCL1,11/02/2015,7.12,,,462,56,2.27,,
1S03A,12/02/2015,7.44,,,91,49,2.15,,
1S03B,12/02/2015,7.58,,,94,49,2.21,,
1S07,12/02/2015,7.36,,,92,51,2.09,,
1SCL1,12/02/2015,7.31,,,363,53,2.16,,
1S03A,01/03/2015,7.38,,,93,41,2,,
1S03B,01/03/2015,7.49,,,91,40,1.95,,
1S04,01/03/2015,7.3,,,91,41,2.06,,
1S03A,02/03/2015,7.3,,,90,35,2.07,,
1S03B,02/03/2015,7.57,,,93,35,2.16,,
1S04,02/03/2015,7.74,,,90,34,1.92,,
1S03A,03/03/2015,7.32,15.6,6.42,90,36,2.09,0,0.004
1S03B,03/03/2015,7.48,16.4,6.49,91,36,2.18,0,0.004
1S04,03/03/2015,7.31,,,90,36,2.06,,
1S07*,03/03/2015,7.32,15.6,6.37,90,36,1.82,0,0.004
1S03A,04/03/2015,7.27,,,97,40,2.06,,
1S03B,04/03/2015,7.46,,,100,39,1.96,,
1S04,04/03/2015,7.32,,,98,40,1.92,,
1S03A,05/03/2015,7.3,,,112,49,2.1,,
1S03B,05/03/2015,7.46,,,116,49,2.06,,
1S04,05/03/2015,7.4,,,116,50,2,,
1S03A,06/03/2015,7.44,,,101,55,2.28,,
1S03B,06/03/2015,7.59,,,104,55,2.04,,
1S04,06/03/2015,7.39,,,102,56,2.1,,
1SCL1,06/03/2015,7.47,,,425,53,2,,
1S03A,07/03/2015,7.15,,,96,60,2.1,,
1S03B,07/03/2015,7.39,,,101,60,2.06,,
1S07,07/03/2015,7.48,,,99,61,1.93,,
1SCL1,07/03/2015,7.37,,,384,53,2.17,,
1S03A,08/03/2015,7.31,,,96,66,2.14,,
1S03B,08/03/2015,7.47,,,103,65,2.16,,
1S07,08/03/2015,7.43,,,101,65,1.9,,
1SCL1,08/03/2015,7.4,,,387,58,2.14,,
1S03A,09/03/2015,7.31,,,93,66,2.06,,
1S03B,09/03/2015,7.2,,,96,67,2.05,,
1S07,09/03/2015,7.21,,,96,68,2.02,,
1SCL1,09/03/2015,7.34,,,233,59,2.18,,
1S03A,10/03/2015,7.31,,,93,61,2.05,,
1S03B,10/03/2015,7.37,,,95,60,2.18,,
1S07,10/03/2015,7.37,,,95,59,2.09,,
1SCL1,10/03/2015,7.4,,,515,54,2.1,,
1S03A,11/03/2015,7.26,,,91,58,2.18,,
1S03B,11/03/2015,7.43,,,94,57,2.12,,
1S07,11/03/2015,7.42,,,92,59,1.99,,
1SCL1,11/03/2015,7.33,,,518,58,2.33,,
1S03A,12/03/2015,7.26,,,91,51,2.01,,
1S03B,12/03/2015,7.38,,,94,51,2.05,,
1S07,12/03/2015,7.34,,,92,51,2.15,,
1SCL1,12/03/2015,7.24,,,438,53,2.26,,
1S03A,01/04/2015,7.39,,,89,42,2.08,,
1S03B,01/04/2015,7.53,,,93,42,2.02,,
1S04,01/04/2015,7.3,,,97,43,1.94,,
1S03A,02/04/2015,7.25,15.4,6.38,90,36,2.07,0,0.004
1S03B,02/04/2015,7.56,16.4,6.47,92,36,1.97,0,0.004
1S04,02/04/2015,7.45,15.5,6.34,91,35,2.07,0,0.008
1S07*,02/04/2015,7.37,16,6.34,91,36,1.84,0,0.006
1S03A,03/04/2015,7.16,,,89,36,2.22,,
1S03B,03/04/2015,7.42,,,92,36,1.54,,
1S04,03/04/2015,7.35,,,90,37,1.92,,
1S03A,04/04/2015,7.24,,,97,39,2.18,,
1S03B,04/04/2015,7.42,,,99,40,2,,
1S04,04/04/2015,7.33,,,99,41,1.98,,
1S03A,05/04/2015,7.27,,,112,51,2.16,,
1S03B,05/04/2015,7.49,,,115,51,2.09,,
1S04,05/04/2015,7.34,,,114,53,2.17,,
1S03A,06/04/2015,7.38,,,99,55,2.28,,
1S03B,06/04/2015,7.66,,,104,55,2.07,,
1S04,06/04/2015,7.43,,,102,55,2.02,,
1SCL1,06/04/2015,7.52,,,437,53,2.11,,
1S03A,07/04/2015,7.41,,,96,64,2.16,,
1S03B,07/04/2015,7.73,,,100,62,1.95,,
1S07,07/04/2015,7.5,,,99,60,1.89,,
1SCL1,07/04/2015,7.52,,,345,55,2.17,,
1S03A,08/04/2015,7.49,15.4,5.89,100,63,2.21,0,0.005
1S03B,08/04/2015,7.81,16.4,5.93,105,64,2.11,0,0.005
1S07,08/04/2015,7.42,15,5.94,102,68,1.92,0,0.011
1SCL1,08/04/2015,7.53,45.8,17.7,343,56,2.02,0,0.017
1S03A,09/04/2015,7.26,,,92,66,2.02,,
1S03B,09/04/2015,7.3,,,95,66,2.04,,
1S07,09/04/2015,7.31,,,96,67,1.89,,
1SCL1,09/04/2015,7.4,,,102,67,2.12,,
1S03A,10/04/2015,7.4,,,92,61,2.03,,
1S03B,10/04/2015,7.46,,,95,60,1.9,,
1S07,10/04/2015,7.36,,,94,60,2.24,,
1SCL1,10/04/2015,7.46,,,515,54,2.26,,
1S03A,11/04/2015,7.3,15.5,5.85,90,58,2.16,0,0.006
1S03B,11/04/2015,7.43,16.2,6.01,94,58,2.12,0,0.008
1S07,11/04/2015,7.25,15.9,6.07,92,58,2.07,0,0.007
1SCL1,11/04/2015,7.35,75.1,27.5,509,59,2.21,0,0.008
1S03A,12/04/2015,7.38,,,92,50,2.09,,
1S03B,12/04/2015,7.41,,,95,50,2.26,,
1S07,12/04/2015,7.37,,,93,50,1.98,,
1SCL1,12/04/2015,7.26,,,452,53,2.19,,
1S03A,01/05/2015,7.43,,,88,40,2.23,,
1S03B,01/05/2015,7.61,,,91,41,2.04,,
1S04,01/05/2015,7.27,,,89,41,2.1,,
1S03A,02/05/2015,7.34,,,90,35,2.17,,
1S03B,02/05/2015,7.61,,,92,35,2.02,,
1S04,02/05/2015,7.41,,,92,36,2.02,,
1S03A,03/05/2015,7.13,,,89,35,2.25,,
1S03B,03/05/2015,7.32,,,93,35,2.13,,
1S04,03/05/2015,7.3,,,90,35,2.12,,
1S03A,04/05/2015,7.25,,,97,42,2.15,,
1S03B,04/05/2015,7.42,,,101,42,1.91,,
1S04,04/05/2015,7.32,,,100,41,1.97,,
1S03A,05/05/2015,7.27,15.8,7.03,111,50,2.1,0,0.005
1S03B,05/05/2015,7.56,17.6,7.04,116,50,2,0,0.006
1S04,05/05/2015,7.38,16.6,7.03,115,51,2.01,0,0.011
1S07*,05/05/2015,7.4,16.8,7.04,115,52,2.01,0,0.006
1S03A,06/05/2015,7.17,,,99,55,2.27,,
1S03B,06/05/2015,7.47,,,104,56,2.01,,
1S04,06/05/2015,7.17,,,101,57,2.2,,
1SCL1,06/05/2015,7.39,,,400,53,2.16,,
1S03A,07/05/2015,7.44,,,96,59,2.14,,
1S03B,07/05/2015,7.74,,,101,60,1.89,,
1S07,07/05/2015,7.47,,,99,62,2.16,,
1SCL1,07/05/2015,7.48,,,371,54,2.18,,
1S03A,08/05/2015,7.49,,,100,63,2.31,,
1S03B,08/05/2015,7.72,,,103,63,2.06,,
1S07,08/05/2015,7.39,,,101,65,1.85,,
1SCL1,08/05/2015,7.32,,,520,52,1.87,,
1S03A,09/05/2015,7.33,,,95,67,2.08,,
1S03B,09/05/2015,7.34,,,97,67,2.02,,
1S07,09/05/2015,7.27,,,97,68,1.76,,
1SCL1,09/05/2015,7.42,,,298,62,1.88,,
1S03A,10/05/2015,7.23,,,90,61,2.11,,
1S03B,10/05/2015,7.32,,,94,60,2.17,,
1S07,10/05/2015,7.28,,,92,60,1.98,,
1SCL1,10/05/2015,7.33,,,507,53,2.13,,
1S03A,11/05/2015,7.33,,,89,57,2.27,,
1S03B,11/05/2015,7.48,,,92,56,2.18,,
1S07,11/05/2015,7.41,,,90,58,1.95,,
1SCL1,11/05/2015,7.39,,,517,58,2.07,,
1S03A,12/05/2015,7.09,,,91,50,2.13,,
1S03B,12/05/2015,7.26,,,95,50,2.23,,
1S07,12/05/2015,7.41,,,93,50,1.88,,
1SCL1,12/05/2015,7.15,,,388,53,2.29,,
1S03A,01/06/2015,7.3,15.2,6.31,88,41,2.18,0,0.004
1S03B,01/06/2015,7.52,15.7,6.48,91,41,2.11,0,0.005
1S04,01/06/2015,7.36,,,91,41,1.96,,
1S07*,01/06/2015,7.43,15.8,6.28,92,41,1.78,0,0.004
1S03A,02/06/2015,7.17,,,90,36,2.15,,
1S03B,02/06/2015,7.35,,,93,35,1.99,,
1S04,02/06/2015,7.36,,,92,35,1.91,,
1S03A,03/06/2015,7.34,,,89,35,2.12,,
1S03B,03/06/2015,7.27,,,91,35,2.15,,
1S04,03/06/2015,7.39,,,91,36,1.89,,
1S03A,04/06/2015,7.27,,,98,39,2.07,,
1S03B,04/06/2015,7.53,,,102,40,1.94,,
1S04,04/06/2015,7.26,,,101,40,2.16,,
1S03A,05/06/2015,7.29,,,114,51,2.31,,
1S03B,05/06/2015,7.47,,,116,53,2.2,,
1S04,05/06/2015,7.33,,,115,53,2.06,,
1S03A,06/06/2015,7.25,,,99,55,2.13,,
1S03B,06/06/2015,7.56,,,103,55,1.77,,
1S04,06/06/2015,7.39,,,101,56,2.08,,
1SCL1,06/06/2015,7.53,,,425,52,2.38,,
1S03A,07/06/2015,7.33,,,96,60,2.18,,
1S03B,07/06/2015,7.7,,,101,61,2.06,,
1S07,07/06/2015,7.46,,,99,61,2.08,,
1SCL1,07/06/2015,7.41,,,318,54,2.2,,
1S03A,08/06/2015,7.54,,,101,63,2.22,,
1S03B,08/06/2015,7.56,,,105,63,2,,
1S07,08/06/2015,7.44,,,103,64,1.82,,
1SCL1,08/06/2015,7.36,,,433,55,1.9,,
1S03A,09/06/2015,7.32,,,94,67,2.08,,
1S03B,09/06/2015,7.35,,,97,66,2.05,,
1S07,09/06/2015,7.31,,,96,67,1.75,,
1SCL1,09/06/2015,7.29,,,392,58,2,,
1S03A,10/06/2015,7.3,,,89,62,2.2,,
1S03B,10/06/2015,7.43,,,95,61,2.35,,
1S07,10/06/2015,7.36,,,94,61,1.99,,
1SCL1,10/06/2015,7.39,,,509,54,2.19,,
1S03A,11/06/2015,7.33,,,89,58,2.15,,
1S03B,11/06/2015,7.5,,,91,57,2.2,,
1S07,11/06/2015,7.38,,,92,59,1.98,,
1SCL1,11/06/2015,7.37,,,410,60,2.05,,
1S03A,12/06/2015,7.39,,,92,52,2.09,,
